sentence,dataset_id,llm_flag
The data that support the findings of this study have been deposited in Dryad with doi: https://doi.org/10.5061/dryad.37pvmcvgb REFERENCES Abhilasha D. Quintana N. Vivanco J. Joshi J.,https://doi.org/10.5061/dryad.37pvmcvgb,yes
"( 2019 2013 2 S1 Kaloula pulchra Microhyla nepenthicola M. pulchra FIGURE 2 Landmarks (pink; L1‐19) and semilandmarks (violet; C1‐9) on the bones of the left‐side pectoral girdle of Ecnomiohyla miliaria All subsequent steps were performed in R (version 3.5.3; R Core Team, 2019 2018 2016 2018 2020 2017 2020 2018 2020 2019 2019 estimate.missing gpagen, mshape 2.4 Statistical analyses and visualization The full landmark dataset was used to assess the modularity (sensu Schlosser, 2002 phylo.modularity 2016 The following analyses were performed for each set of superimposed species mean shapes (landmark datasets i–v) separately.",Missing,yes
Data and materials are available at https://doi.org/10.5061/dryad.b8gtht7h3 Supporting information Appendix S1 Click here for additional data file.,https://doi.org/10.5061/dryad.b8gtht7h3,yes
DATA AVAILABILITY STATEMENT All R code and data used to implement our Bayesian co‐abundance models can be accessed at this Figshare repository: https://doi.org/10.5061/dryad.b8gtht7h3 REFERENCES Amir Z. Moore J. H. Negret P. J. Luskin M. S. 2022 Megafauna extinctions produce idiosyncratic Anthropocene assemblages Science Advances 8 42 eabq2307 36269822 Atkins J. L. Long R. A. Pansu J. Daskin J. H. Potter A.,https://doi.org/10.5061/dryad.b8gtht7h3,yes
Data for: Interactions between Temperature and Predation Impact Insect Emergence in Alpine Lakes C Owens M Lee M Grim J Schroeder H Young 10.25349/D9QW5X Dryad.,https://doi.org/10.25349/d9qw5x,yes
https://doi.org/10.25349/D9QW5X.,https://doi.org/10.25349/d9qw5x,yes
"( 2019 2015 https://doi.org/10.5066/P9353101 2019 https://doi.org/10.1029/2019GL084926 3 3 Fieldwork and trenching Fieldwork was conducted along and across the May 2016 Petermann surface rupture in June 2016 and September 2017 (see King et al., 2018 1 3 Trench 2 (Figure 1 3.2 Optically stimulated luminescence OSL samples were collected by driving a stainless‐steel tube into unconsolidated sediments at 0.7 m depth (Figure 4 1 D e 1997 2 2 2003 2000 D e 1 D e 1999 1 1985 1 1998 1 4 FIGURE Field photographs and logs of trenches across the Petermann earthquake surface rupture.",https://doi.org/10.5066/p9353101,yes
"ACKNOWLEDGMENTS SMS CDF CDF WJZ LG WJZ LG REFERENCES 1 Kumar V Gu Y Basu S Radiomics: the process and the challenges Magn Reson Imaging 2012 30 1234 1248 22898692 2 Zhang G Jiang S Yang Z Automatic nodule detection for lung cancer in CT images: a review Comput Biol Med 2018 103 287 300 30415174 3 Ardila D Kiraly AP Bharadwaj S End‐to‐end lung cancer screening with three‐dimensional deep learning on low‐dose chest computed tomography Nat Med 2019 25 954 961 31110349 4 Hu S Hoffman EA Reinhardt JM Automatic lung segmentation for accurate quantitation of volumetric X‐ray CT images IEEE Trans Med Imaging 2001 20 490 498 11437109 5 Tong Y Udupa JK Odhner D Wu C Schuster SJ Torigian DA Disease quantification on PET/CT images without explicit object delineation Med Image Anal 2019 51 169 183 30453165 6 Mansoor A Bagci U Foster B Segmentation and image analysis of abnormal lungs at CT: current approaches, challenges, and future trends Radiographics 2015 35 1056 1076 26172351 7 Mansoor A Bagci U Xu Z A generic approach to pathological lung segmentation IEEE Trans Med Imaging 2014 33 2293 2310 25020069 8 Gordaliza PM Munoz‐Barrutia A Abella M Desco M Sharpe S Vaquero JJ Unsupervised CT lung image segmentation of a mycobacterium tuberculosis infection model Sci Rep 2018 8 9802 29955159 9 Wang X Teng P Lo P High throughput lung and lobar segmentation by 2D and 3D CNN on chest CT with diffuse lung disease Stoyanov D Taylor Z Kainz B Image Analysis for Moving Organ, Breast, and Thoracic Images Cham Springer 2018 10.1007/978-3-030-00946-5_21 10 Harrison AP Xu Z George K Lu L Summers RM Mollura DJ Progressive and multi‐path holistically nested neural networks for pathological lung segmentation from CT images Descoteaux M Maier‐Hein L Franz A Jannin P Collins DL Duchesne S Medical Image Computing and Computer Assisted Intervention − MICCAI 2017 Cham Springer 2017 10.1007/978-3-319-66179-7_71 11 Deen KJ Ganesan R Merline A Fuzzy‐C‐means clustering based segmentation and CNN‐classification for accurate segmentation of lung nodules Asian Pac J Cancer Prev 2017 18 1869 1874 28749127 12 Gudmundsson E Straus CM Armato SG 3rd Deep convolutional neural networks for the automated segmentation of malignant pleural mesothelioma on computed tomography scans J Med Imaging (Bellingham) 2018 5 034503 30840717 13 Park B Park H Lee SM Seo JB Kim N Lung segmentation on HRCT and volumetric CT for diffuse interstitial lung disease using deep convolutional neural networks J Digit Imaging 2019 32 1019 1026 31396776 14 Chen G Xiang D Zhang B Automatic pathological lung segmentation in low‐dose CT image using Eigenspace sparse shape composition IEEE Trans Med Imaging 2019 38 1736 1749 30605097 15 Soliman A Khalifa F Elnakib A Accurate lungs segmentation on CT chest images by adaptive appearance‐guided shape modeling IEEE Trans Med Imaging 2017 36 263 276 27705854 16 Doel T Gavaghan DJ Grau V Review of automatic pulmonary lobe segmentation methods from CT Comput Med Imaging Graph 2015 40 13 29 25467805 17 Ren H Zhou L Liu G An unsupervised semi‐automated pulmonary nodule segmentation method based on enhanced region growing Quant Imaging Med Surg 2020 10 233 242 31956545 18 Dong J Lu K Dai S Xue J Zhai R Auto‐Segmentation of Pathological Lung Parenchyma Based on Region Growing Method 10.1007/978-981-10-8530-7_23 19 Hofmanninger J Prayer F Pan J Rohrich S Prosch H Langs G Automatic lung segmentation in routine imaging is a data diversity problem, not a methodology problem 2020 20 Shaukat F Raja G Frangi AF Computer‐aided detection of lung nodules: a review J Med Imaging 2019 6 1 21 Clark K Vendt B Smith K The cancer imaging archive (TCIA): maintaining and operating a public information repository J Digit Imaging 2013 26 1045 1057 23884657 22 Aerts HJWL Wee L Rios Velazquez E Data from NSCLC‐Radiomics [Dataset] The Cancer Imaging Archive 2019 10.7937/K9/TCIA.2015.PF0M9REI 23 Aerts HJ Velazquez ER Leijenaar RT Decoding tumour phenotype by noninvasive imaging using a quantitative radiomics approach Nat Commun 2014 5 4006 24892406 24 Li X Morgan PS Ashburner J Smith J Rorden C dcm2niix.exe [computer program] https://www.nitrc.org/plugins/mwiki/index.php/dcm2nii:MainPage 25 Li X Morgan PS Ashburner J Smith J Rorden C The first step for neuroimaging data analysis: DICOM to NIfTI conversion J Neurosci Methods 2016 264 47 56 26945974 26 Pesiuk V Lung Segmentation (3D) [computer program] https://github.com/imlab‐uiip/lung‐segmentation‐3d 27 Yushkevich PA Piven J Hazlett HC User‐guided 3D active contour segmentation of anatomical structures: significantly improved efficiency and reliability Neuroimage 2006 31 1116 1128 16545965 28 Panchal A Dicompyler [computer program] https://www.dicompyler.com/ 29 Oliphant TE Python for scientific computing Comput Sci Eng 2007 9 10 20 30 Abraham A Pedregosa F Eickenberg M Machine learning for neuroimaging with scikit‐learn Front Neuroinform 2014 8 14 24600388 31 McKinney W Data structures for statistical computing in Python Proceedings of the 9th Python in Science Conference (SCIPY 2010) 2010 51 56 32 Nikolov S Blackwell S Mendes R Deep learning to achieve clinically applicable segmentation of head and neck anatomy for radiotherapy 33 Pedregosa F Varoquaux G Gramfort A Scikit‐learn: machine learning in Python J Mach Learn Res 2011 12 2825 2830 34 Hunter JD Matplotlib: a 2d graphics environment Comput Sci Eng 2007 9 90 95 35 Waskom M Botvinnik O O'Kane D MWaskom/Seaborn 10.5281/zenodo.1313201 36 Dice LR Measures of the amount of ecologic association between species Ecology 1945 26 297 37 Cohen J A coefficient of agreement for nominal scales Educat Psychol Meas 1960 20 37 46 38 Huttenlocher DP Klanderman GA Rucklidge WJ Comparing images using the Hausdorff distance IEEE Trans Pattern Anal Mach Intell 1993 15 850 863 39 Yao J Bliton J Summers RM Automatic segmentation and measurement of pleural effusions on CT IEEE Trans Bio‐med Eng 2013 60 1834 1840 40 von Falck C Meier S Jördens S King B Galanski M Shin HO Semiautomated segmentation of pleural effusions in MDCT datasets Acad Radiol 2010 17 841 848 20399688 41 Anderson SA Danelson KA Mammarappallil JG Chiles C Stitzel JD Semiautomatic method of quantifying pleural effusions using computed tomography scans ‐ biomed 2013 Biomed Sci Instrum 2013 49 13 19 23686175 42 Song L Gao J Wang S Hu H Guo Y A quantitative evaluation of pleural effusion on computed tomography scans using B‐spline and local clustering level set J Xray Sci Technol 2017 25 887 905 28550270 43 Moy MP Levsky JM Berko NS Godelman A Jain VR Haramati LB A new, simple method for estimating pleural effusion size on CT scans Chest 2013 143 1054 1059 23632863 44 Brock KK Mutic S McNutt TR Li H Kessler ML Use of image registration and fusion algorithms and techniques in radiotherapy: report of the AAPM Radiation Therapy Committee Task Group No.",https://doi.org/10.7937/k9/tcia.2015.pf0m9rei,yes
"132 Med Phys 2017 44 e43 e76 28376237 45 Yang J Veeraraghavan H Armato SG 3rd Autosegmentation for thoracic radiation treatment planning: a grand challenge at AAPM 2017 Med Phys 2018 45 4568 4581 30144101 46 Landis JR Koch GG The measurement of observer agreement for categorical data Biometrics 1977 33 159 843571 47 Vaassen F Hazelaar C Vaniqui A Evaluation of measures for assessing time‐saving of automatic organ‐at‐risk segmentation in radiotherapy Phy Imaging Radiat Oncol 2020 13 1 6 48 Mann HB Whitney DR On a test of whether one of two random variables is stochastically larger than the other Ann Math Stat 1947 18 50 60 49 Kiser K Barman A Stieb S Fuller CD Giancardo L Novel autosegmentation spatial similarity metrics capture the time required to correct segmentations better than traditional metrics in a thoracic cavity segmentation workflow 10.1101/2020.05.14.20102103 50 Wilkinson MD Dumontier M Aalbersberg IJ The FAIR Guiding Principles for scientific data management and stewardship Sci Data 2016 3 160018 26978244 51 Kiser KJ Ahmed S Stieb SM Data from the thoracic volume and pleural effusion segmentations in diseased lungs for benchmarking chest CT processing pipelines [Dataset] The Cancer Imaging Archive 2020 10.7937/tcia.2020.6c7y-gq39 52 Ronneberger O Fischer P Brox T U‐Net: Convolutional Networks for Biomedical Image Segmentation 10.1007/978-3-319-24574-4_28 53 Çiçek Ö Abdulkadir A Lienkamp SS Brox T Ronneberger O 3D U‐Net: Learning Dense Volumetric Segmentation from Sparse Annotation 10.1007/978-3-319-46723-8_49 54 Milletari F Navab N Ahmadi S V‐Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation 10.1109/3DV.2016.79 55 Zhou Z Rahman Siddiquee MM Tajbakhsh N Liang J UNet++: A Nested U‐Net Architecture for Medical Image Segmentation 10.1007/978-3-030-00889-5_1 56 Brosch T Tang LYW Yoo Y Li DKB Traboulsee A Tam R Deep 3D convolutional encoder networks with shortcuts for multiscale feature integration applied to multiple sclerosis lesion segmentation IEEE Trans Med Imaging 2016 35 1229 1239 26886978 57 Kingma DP Ba JL Adam: A Method for Stochastic Optimization 58 Barman A Inam ME Lee S Savitz S Sheth S Giancardo L Determining ischemic stroke from CT‐angiography imaging using symmetry‐sensitive convolutional networks 2019 10.1109/ISBI.2019.8759475 59 Ryu JS Lim JH Lee JM Minimal pleural effusion in small cell lung cancer: proportion, mechanisms, and prognostic effect Radiology 2016 278 593 600 26323029 60 Zhang X Duan H Yu Y Differential diagnosis between benign and malignant pleural effusion with dual‐energy spectral CT PLoS One 2018 13 e0193714 29641601 61 Otoshi T Kataoka Y Ikegaki S Pleural effusion biomarkers and computed tomography findings in diagnosing malignant pleural mesothelioma: a retrospective study in a single center PLoS One 2017 12 e0185850 28968445 62 Herrera Lara S Fernandez‐Fabrellas E Juan Samper G Predicting malignant and paramalignant pleural effusions by combining clinical, radiological and pleural fluid analytical parameters Lung 2017 195 653 660 28656381 63 Nakajima R Abe K Sakai S Diagnostic ability of FDG‐PET/CT in the detection of malignant pleural effusion Medicine (Baltimore) 2015 94 e1010 26200610 64 Hallifax RJ Talwar A Wrightson JM Edey A Gleeson FV State‐of‐the‐art: radiological investigation of pleural disease Respir Med 2017 124 88 99 28233652 65 Yang M Ren Y She Y Imaging phenotype using radiomics to predict dry pleural dissemination in non‐small cell lung cancer Ann Transl Med 2019 7 259 31355226",https://doi.org/10.7937/tcia.2020.6c7y-gq39,yes
"ACKNOWLEDGMENTS SMS CDF CDF WJZ LG WJZ LG REFERENCES 1 Kumar V Gu Y Basu S Radiomics: the process and the challenges Magn Reson Imaging 2012 30 1234 1248 22898692 2 Zhang G Jiang S Yang Z Automatic nodule detection for lung cancer in CT images: a review Comput Biol Med 2018 103 287 300 30415174 3 Ardila D Kiraly AP Bharadwaj S End‐to‐end lung cancer screening with three‐dimensional deep learning on low‐dose chest computed tomography Nat Med 2019 25 954 961 31110349 4 Hu S Hoffman EA Reinhardt JM Automatic lung segmentation for accurate quantitation of volumetric X‐ray CT images IEEE Trans Med Imaging 2001 20 490 498 11437109 5 Tong Y Udupa JK Odhner D Wu C Schuster SJ Torigian DA Disease quantification on PET/CT images without explicit object delineation Med Image Anal 2019 51 169 183 30453165 6 Mansoor A Bagci U Foster B Segmentation and image analysis of abnormal lungs at CT: current approaches, challenges, and future trends Radiographics 2015 35 1056 1076 26172351 7 Mansoor A Bagci U Xu Z A generic approach to pathological lung segmentation IEEE Trans Med Imaging 2014 33 2293 2310 25020069 8 Gordaliza PM Munoz‐Barrutia A Abella M Desco M Sharpe S Vaquero JJ Unsupervised CT lung image segmentation of a mycobacterium tuberculosis infection model Sci Rep 2018 8 9802 29955159 9 Wang X Teng P Lo P High throughput lung and lobar segmentation by 2D and 3D CNN on chest CT with diffuse lung disease Stoyanov D Taylor Z Kainz B Image Analysis for Moving Organ, Breast, and Thoracic Images Cham Springer 2018 10.1007/978-3-030-00946-5_21 10 Harrison AP Xu Z George K Lu L Summers RM Mollura DJ Progressive and multi‐path holistically nested neural networks for pathological lung segmentation from CT images Descoteaux M Maier‐Hein L Franz A Jannin P Collins DL Duchesne S Medical Image Computing and Computer Assisted Intervention − MICCAI 2017 Cham Springer 2017 10.1007/978-3-319-66179-7_71 11 Deen KJ Ganesan R Merline A Fuzzy‐C‐means clustering based segmentation and CNN‐classification for accurate segmentation of lung nodules Asian Pac J Cancer Prev 2017 18 1869 1874 28749127 12 Gudmundsson E Straus CM Armato SG 3rd Deep convolutional neural networks for the automated segmentation of malignant pleural mesothelioma on computed tomography scans J Med Imaging (Bellingham) 2018 5 034503 30840717 13 Park B Park H Lee SM Seo JB Kim N Lung segmentation on HRCT and volumetric CT for diffuse interstitial lung disease using deep convolutional neural networks J Digit Imaging 2019 32 1019 1026 31396776 14 Chen G Xiang D Zhang B Automatic pathological lung segmentation in low‐dose CT image using Eigenspace sparse shape composition IEEE Trans Med Imaging 2019 38 1736 1749 30605097 15 Soliman A Khalifa F Elnakib A Accurate lungs segmentation on CT chest images by adaptive appearance‐guided shape modeling IEEE Trans Med Imaging 2017 36 263 276 27705854 16 Doel T Gavaghan DJ Grau V Review of automatic pulmonary lobe segmentation methods from CT Comput Med Imaging Graph 2015 40 13 29 25467805 17 Ren H Zhou L Liu G An unsupervised semi‐automated pulmonary nodule segmentation method based on enhanced region growing Quant Imaging Med Surg 2020 10 233 242 31956545 18 Dong J Lu K Dai S Xue J Zhai R Auto‐Segmentation of Pathological Lung Parenchyma Based on Region Growing Method 10.1007/978-981-10-8530-7_23 19 Hofmanninger J Prayer F Pan J Rohrich S Prosch H Langs G Automatic lung segmentation in routine imaging is a data diversity problem, not a methodology problem 2020 20 Shaukat F Raja G Frangi AF Computer‐aided detection of lung nodules: a review J Med Imaging 2019 6 1 21 Clark K Vendt B Smith K The cancer imaging archive (TCIA): maintaining and operating a public information repository J Digit Imaging 2013 26 1045 1057 23884657 22 Aerts HJWL Wee L Rios Velazquez E Data from NSCLC‐Radiomics [Dataset] The Cancer Imaging Archive 2019 10.7937/K9/TCIA.2015.PF0M9REI 23 Aerts HJ Velazquez ER Leijenaar RT Decoding tumour phenotype by noninvasive imaging using a quantitative radiomics approach Nat Commun 2014 5 4006 24892406 24 Li X Morgan PS Ashburner J Smith J Rorden C dcm2niix.exe [computer program] https://www.nitrc.org/plugins/mwiki/index.php/dcm2nii:MainPage 25 Li X Morgan PS Ashburner J Smith J Rorden C The first step for neuroimaging data analysis: DICOM to NIfTI conversion J Neurosci Methods 2016 264 47 56 26945974 26 Pesiuk V Lung Segmentation (3D) [computer program] https://github.com/imlab‐uiip/lung‐segmentation‐3d 27 Yushkevich PA Piven J Hazlett HC User‐guided 3D active contour segmentation of anatomical structures: significantly improved efficiency and reliability Neuroimage 2006 31 1116 1128 16545965 28 Panchal A Dicompyler [computer program] https://www.dicompyler.com/ 29 Oliphant TE Python for scientific computing Comput Sci Eng 2007 9 10 20 30 Abraham A Pedregosa F Eickenberg M Machine learning for neuroimaging with scikit‐learn Front Neuroinform 2014 8 14 24600388 31 McKinney W Data structures for statistical computing in Python Proceedings of the 9th Python in Science Conference (SCIPY 2010) 2010 51 56 32 Nikolov S Blackwell S Mendes R Deep learning to achieve clinically applicable segmentation of head and neck anatomy for radiotherapy 33 Pedregosa F Varoquaux G Gramfort A Scikit‐learn: machine learning in Python J Mach Learn Res 2011 12 2825 2830 34 Hunter JD Matplotlib: a 2d graphics environment Comput Sci Eng 2007 9 90 95 35 Waskom M Botvinnik O O'Kane D MWaskom/Seaborn 10.5281/zenodo.1313201 36 Dice LR Measures of the amount of ecologic association between species Ecology 1945 26 297 37 Cohen J A coefficient of agreement for nominal scales Educat Psychol Meas 1960 20 37 46 38 Huttenlocher DP Klanderman GA Rucklidge WJ Comparing images using the Hausdorff distance IEEE Trans Pattern Anal Mach Intell 1993 15 850 863 39 Yao J Bliton J Summers RM Automatic segmentation and measurement of pleural effusions on CT IEEE Trans Bio‐med Eng 2013 60 1834 1840 40 von Falck C Meier S Jördens S King B Galanski M Shin HO Semiautomated segmentation of pleural effusions in MDCT datasets Acad Radiol 2010 17 841 848 20399688 41 Anderson SA Danelson KA Mammarappallil JG Chiles C Stitzel JD Semiautomatic method of quantifying pleural effusions using computed tomography scans ‐ biomed 2013 Biomed Sci Instrum 2013 49 13 19 23686175 42 Song L Gao J Wang S Hu H Guo Y A quantitative evaluation of pleural effusion on computed tomography scans using B‐spline and local clustering level set J Xray Sci Technol 2017 25 887 905 28550270 43 Moy MP Levsky JM Berko NS Godelman A Jain VR Haramati LB A new, simple method for estimating pleural effusion size on CT scans Chest 2013 143 1054 1059 23632863 44 Brock KK Mutic S McNutt TR Li H Kessler ML Use of image registration and fusion algorithms and techniques in radiotherapy: report of the AAPM Radiation Therapy Committee Task Group No.",https://doi.org/10.7937/k9/tcia.2015.pf0m9rei,yes
"132 Med Phys 2017 44 e43 e76 28376237 45 Yang J Veeraraghavan H Armato SG 3rd Autosegmentation for thoracic radiation treatment planning: a grand challenge at AAPM 2017 Med Phys 2018 45 4568 4581 30144101 46 Landis JR Koch GG The measurement of observer agreement for categorical data Biometrics 1977 33 159 843571 47 Vaassen F Hazelaar C Vaniqui A Evaluation of measures for assessing time‐saving of automatic organ‐at‐risk segmentation in radiotherapy Phy Imaging Radiat Oncol 2020 13 1 6 48 Mann HB Whitney DR On a test of whether one of two random variables is stochastically larger than the other Ann Math Stat 1947 18 50 60 49 Kiser K Barman A Stieb S Fuller CD Giancardo L Novel autosegmentation spatial similarity metrics capture the time required to correct segmentations better than traditional metrics in a thoracic cavity segmentation workflow 10.1101/2020.05.14.20102103 50 Wilkinson MD Dumontier M Aalbersberg IJ The FAIR Guiding Principles for scientific data management and stewardship Sci Data 2016 3 160018 26978244 51 Kiser KJ Ahmed S Stieb SM Data from the thoracic volume and pleural effusion segmentations in diseased lungs for benchmarking chest CT processing pipelines [Dataset] The Cancer Imaging Archive 2020 10.7937/tcia.2020.6c7y-gq39 52 Ronneberger O Fischer P Brox T U‐Net: Convolutional Networks for Biomedical Image Segmentation 10.1007/978-3-319-24574-4_28 53 Çiçek Ö Abdulkadir A Lienkamp SS Brox T Ronneberger O 3D U‐Net: Learning Dense Volumetric Segmentation from Sparse Annotation 10.1007/978-3-319-46723-8_49 54 Milletari F Navab N Ahmadi S V‐Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation 10.1109/3DV.2016.79 55 Zhou Z Rahman Siddiquee MM Tajbakhsh N Liang J UNet++: A Nested U‐Net Architecture for Medical Image Segmentation 10.1007/978-3-030-00889-5_1 56 Brosch T Tang LYW Yoo Y Li DKB Traboulsee A Tam R Deep 3D convolutional encoder networks with shortcuts for multiscale feature integration applied to multiple sclerosis lesion segmentation IEEE Trans Med Imaging 2016 35 1229 1239 26886978 57 Kingma DP Ba JL Adam: A Method for Stochastic Optimization 58 Barman A Inam ME Lee S Savitz S Sheth S Giancardo L Determining ischemic stroke from CT‐angiography imaging using symmetry‐sensitive convolutional networks 2019 10.1109/ISBI.2019.8759475 59 Ryu JS Lim JH Lee JM Minimal pleural effusion in small cell lung cancer: proportion, mechanisms, and prognostic effect Radiology 2016 278 593 600 26323029 60 Zhang X Duan H Yu Y Differential diagnosis between benign and malignant pleural effusion with dual‐energy spectral CT PLoS One 2018 13 e0193714 29641601 61 Otoshi T Kataoka Y Ikegaki S Pleural effusion biomarkers and computed tomography findings in diagnosing malignant pleural mesothelioma: a retrospective study in a single center PLoS One 2017 12 e0185850 28968445 62 Herrera Lara S Fernandez‐Fabrellas E Juan Samper G Predicting malignant and paramalignant pleural effusions by combining clinical, radiological and pleural fluid analytical parameters Lung 2017 195 653 660 28656381 63 Nakajima R Abe K Sakai S Diagnostic ability of FDG‐PET/CT in the detection of malignant pleural effusion Medicine (Baltimore) 2015 94 e1010 26200610 64 Hallifax RJ Talwar A Wrightson JM Edey A Gleeson FV State‐of‐the‐art: radiological investigation of pleural disease Respir Med 2017 124 88 99 28233652 65 Yang M Ren Y She Y Imaging phenotype using radiomics to predict dry pleural dissemination in non‐small cell lung cancer Ann Transl Med 2019 7 259 31355226",https://doi.org/10.7937/tcia.2020.6c7y-gq39,yes
10.7937/tcia.2019.30ilqfcl 42.,https://doi.org/10.7937/tcia.2019.30ilqfcl,no
Bakr S Gevaert O Echegaray S Ayers K Zhou M Shafiq M Data for NSCLC radiogenomics collection The Cancer Imaging Archive 2017 10.7937/K9/TCIA.2017.7hs46erv 43.,https://doi.org/10.7937/k9/tcia.2017.7hs46erv,yes
10.7937/tcia.2019.30ilqfcl 42.,https://doi.org/10.7937/tcia.2019.30ilqfcl,yes
Bakr S Gevaert O Echegaray S Ayers K Zhou M Shafiq M Data for NSCLC radiogenomics collection The Cancer Imaging Archive 2017 10.7937/K9/TCIA.2017.7hs46erv 43.,https://doi.org/10.7937/k9/tcia.2017.7hs46erv,yes
"1029/ 2020G L0876 09 Data from: Four atmospheric circulation regimes over the North Pacific and their relationship to California precipitation on daily to seasonal timescales K Guirguis A Gershunov M J Deflorio T Shulgina Delle Monache L Subramanian A C 10.6075/J0154FJJ UC San Diego Library Digital Collections 2020b Guirguis K, Gershunov A, DeFlorio MJ, Shulgina T, Delle Monache L, Subramanian AC et al (2020b) Data from: Four atmospheric circulation regimes over the North Pacific and their relationship to California precipitation on daily to seasonal timescales.",https://doi.org/10.6075/j0154fjj,no
"6075/ J0154 FJJ Historical catalog of winter weather regimes impacting California, 1949-2017 K Guirguis A Gershunov B Hatchett T Shulgina M J Deflorio A C Subramanian J Guzman-Morales R Aguilera R Clemesha T W Corringham Delle Monache L Reynolds D Tardy A Small I Ralph F M 10.6075/J089161B UC San Diego Library Digital Collections 2022 Guirguis K, Gershunov A, Hatchett B, Shulgina T, DeFlorio MJ, Sub- ramanian AC, Guzman-Morales J, Aguilera R, Clemesha R, Cor- ringham TW, Delle Monache L, Reynolds D, Tardy A, Small I, Ralph FM (2022) Historical catalog of winter weather regimes impacting California, 1949-2017.",https://doi.org/10.6075/j089161b,yes
"1029/ 2020G L0876 09 Data from: Four atmospheric circulation regimes over the North Pacific and their relationship to California precipitation on daily to seasonal timescales K Guirguis A Gershunov M J Deflorio T Shulgina Delle Monache L Subramanian A C 10.6075/J0154FJJ UC San Diego Library Digital Collections 2020b Guirguis K, Gershunov A, DeFlorio MJ, Shulgina T, Delle Monache L, Subramanian AC et al (2020b) Data from: Four atmospheric circulation regimes over the North Pacific and their relationship to California precipitation on daily to seasonal timescales.",https://doi.org/10.6075/j0154fjj,yes
"6075/ J0154 FJJ Historical catalog of winter weather regimes impacting California, 1949-2017 K Guirguis A Gershunov B Hatchett T Shulgina M J Deflorio A C Subramanian J Guzman-Morales R Aguilera R Clemesha T W Corringham Delle Monache L Reynolds D Tardy A Small I Ralph F M 10.6075/J089161B UC San Diego Library Digital Collections 2022 Guirguis K, Gershunov A, Hatchett B, Shulgina T, DeFlorio MJ, Sub- ramanian AC, Guzman-Morales J, Aguilera R, Clemesha R, Cor- ringham TW, Delle Monache L, Reynolds D, Tardy A, Small I, Ralph FM (2022) Historical catalog of winter weather regimes impacting California, 1949-2017.",https://doi.org/10.6075/j089161b,yes
Data availability All data are available at https://doi.org/10.5061/dryad.wpzgmsbps Code availability Code is available at https://doi.org/10.5061/dryad.wpzgmsbps Declarations Conflict of interest The authors declares that they have no conflict of interest.,https://doi.org/10.5061/dryad.wpzgmsbps,yes
